,,,,,,,,,Falso,Multicyclone Separator (Syngas) - [Internos (Vane Pack)] ,MCY-5,Método de Turton,,A = Área Transversal do vaso em m^2 (A = \pi * D^2 / 4),,"3,349","0,4669","0,1243",,-,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Separador Ciclonico,CYC-1,Método de Turton,,,,,,,,,,,,,https://gemini.google.com/share/ef857a51a87b,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Degasser Tank,DGS-2,Método de Turton,,"Volume (V) em m^3 - 0,3 a 520 m^3",,"3,4974","0,4485","0,1074",-,-,,,,C_BM=C_0_p,https://gemini.google.com/share/3fda2c38d5ca,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Multicyclone Separator (Syngas) - [Vaso Vertical (Casco)] ,MCY-6,Método de Turton,,A = Volume do Vaso (m^3),,"3,4974","0,4485","0,1074","2,1 (Aço Inox 316)","1,78 (Pressão de referência 15 bar)",-,-,-,"C_{Base\_2001} = (C_{p,vaso} * F_P * F_M) + (C_{p,internos} * F_M)",https://gemini.google.com/share/6763f2b97d26,"Falta converter para euro, e atualizar para valor presente",,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Separador Ciclonico,CYC-2,Método de Turton,,,,,,,,,,,,,https://gemini.google.com/share/ef857a51a87b,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Multicyclone Separator (O2) - [Vaso Vertical (Casco)] ,MCY-1,Método de Turton,,A = Volume do Vaso (m^3),,"3,4974","0,4485","0,1074",3 (oxigênio exige mais que só material mas também o método de produção dos ciclones),"2,27 (Pressão de referência 40 bar)",-,-,-,"C_{Base\_2001} = (C_{p,vaso} * F_P * F_M) + (C_{p,internos} * F_M)",https://gemini.google.com/share/6763f2b97d26,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,Multicyclone Separator (Syngas) - [Internos (Vane Pack)] ,MCY-6,Método de Turton,,A = Área Transversal do vaso em m^2 (A = \pi * D^2 / 4),,"3,349","0,4669","0,1243",,-,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Separador Ciclonico,CYC-3,Método de Turton,,,,,,,,,,,,,https://gemini.google.com/share/ef857a51a87b,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Multicyclone Separator (O2) - [Internos (Vane Pack)] ,MCY-1,Método de Turton,,A = Área Transversal do vaso em m^2 (A = \pi * D^2 / 4),,"3,349","0,4669","0,1243",,-,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Separador Ciclonico,CYC-4,Método de Turton,,,,,,,,,,,,,https://gemini.google.com/share/ef857a51a87b,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Multicyclone Separator (H2) - [Vaso Vertical (Casco)] ,MCY-2,Método de Turton,,A = Volume do Vaso (m^3),,"3,4974","0,4485","0,1074","2,1 (Aço Inox 316)","2,27 (Pressão de referência 40 bar)",-,-,-,"C_{Base\_2001} = (C_{p,vaso} * F_P * F_M) + (C_{p,internos} * F_M)",https://gemini.google.com/share/6763f2b97d26,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Grid connection safeguarding costs,"€439.041,23",,,,,ROGER,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Separador Ciclonico,CYC-5,Método de Turton,,,,,,,,,,,,,https://gemini.google.com/share/ef857a51a87b,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,Multicyclone Separator (H2) - [Internos (Vane Pack)] ,MCY-2,Método de Turton,,A = Área Transversal do vaso em m^2 (A = \pi * D^2 / 4),,"3,349","0,4669","0,1243",,-,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Deoxigenator,DXO-2,,,,,,,,,,,,,,https://gemini.google.com/share/c986880ad443,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,PSA,PSA-1,,,"volumes entre 0,3 e 520  m^3",,"3,4974","0,4485","0,1074","3,1 (Aço Liga/Inox)","1,2 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/35667c88cab6,"Falta converter para euro, e atualizar para valor presente",,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Coalescer,COA-4,Método de Turton,,Volume em m^3,,"3,4974","0,4485","0,1074","2,1 (Aço Liga/Inox)","1,38 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/aa522c15fa5c,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Os componentes Flow Mixer e Flow Separator não serão quantificados como componentes mas como elementos de encanamento e válculas,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,PSA,PSA-2,,,"volumes entre 0,3 e 520  m^3",,"3,4974","0,4485","0,1074","3,1 (Aço Liga/Inox)","1,2 (Pressão de referência 15 bar)",-,"2,25","1,82","C_BM= 1,25 * {C_0_p * [B_1 + (B_2 * F_m * F_p)]}",https://gemini.google.com/share/35667c88cab6,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,BOP Transformer and Rectifier,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-2,Método de Turton,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,41 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Motor para Bombas de Água,PMP-2,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p ,https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Chiller Elétrico Central (com Free Cooling?),https://gemini.google.com/share/4f8608bd53da,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-3,Método de Turton,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,41 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Torre de Resfriamento,https://gemini.google.com/share/4f8608bd53da,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Motor para Bombas de Água,PMP-3,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p ,https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Dry Cooler Adiabático Central,https://gemini.google.com/share/4f8608bd53da,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Centrifugal Water Pump para Água Ultra Pura + Motor,PMP-4,Método de Turton,,"Centrífuga (1 a 100 kW)
Recíproca (0,1 a 200 kW)
Desloc Positivo Rotativo (1 a 100 kW)",-,"3,3892
3,8696
3,4771","0,0536
0,3161
0,1350","0,1538
0,1220
0,1438","2,41 (Material Aço Inox 316 SS)",1,-,"1,89 (bomba centrífuga)","1,35 (bomba centrífuga)",C_BM=C_0_p * [B_1 + (B_2 * F_m * F_p)],https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Grid connection safeguarding costs,"€439.041,23",,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Motor para Bombas de Água,PMP-4,Método de Turton,,"Até 75 kW
75 a 2600 kW",-,"3,3432
2,9508","0,2761
1,0688","0,0543
-0,1315",-,-,-,-,-,C_BM=C_0_p ,https://gemini.google.com/share/0a659cdc0c21,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Rectifier and Transfermer Balanço de Planta,RCT-3,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Multicyclone Separator (H2) - [Vaso Vertical (Casco)] ,MCY-4,Método de Turton,,A = Volume do Vaso (m^3),,"3,4974","0,4485","0,1074","2,41 (Aço Inox 316)",1 (Pressão Baixa),-,-,-,"C_{Base\_2001} = (C_{p,vaso} * F_P * F_M) + (C_{p,internos} * F_M)",https://gemini.google.com/share/6763f2b97d26,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,Electrical Chiller Central System,"Indicador de Performance (COP):
Faixa esperada: 4.0 a 7.0. Coeficientes Sugeridos (Centrífugos): $K_1=4.2523$, $K_2=0.7615$, $K_3=-0.0031$.",,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,Multicyclone Separator (H2) - [Internos (Vane Pack)] ,MCY-4,Método de Turton,,A = Área Transversal do vaso em m^2 (A = \pi * D^2 / 4),,"3,349","0,4669","0,1243",,-,,,,,,"Falta converter para euro, e atualizar para valor presente",,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,  ,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,  ,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,  ,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,Falso,,,,,,,,,,,,,,,,,,,
